Название вакансии;Название компании;Зарплата;Ссылка на вакансию
Python-разработчик;ООО СТК;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/118892044?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик CAD систем (middle);;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/117215883?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Python) junior;Дмитриев Никита Александрович;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/118503362?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист станков с ЧПУ;;от 120 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119285522?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue) | Vue Developer;ООО МАГ Девелопмент;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/118252107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор Bitrix24 (коробка);;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119384541?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Backend Developer (Node.js);ООО Томский завод резиновой обуви;Опыт 3-6 лет;https://tomsk.hh.ru/vacancy/116435994?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик FPGA;;от 140 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/116054014?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров;Rubius;от 75 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118061810?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по тестированию ПО;;Без опыта;https://tomsk.hh.ru/vacancy/119418682?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик (middle+/senior);Группа Компаний Мечел;180 000 – 280 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119311112?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-технолог (программист станков с ЧПУ);;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/116645729?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Аналитик-консультант 1С;ООО Томский инструментальный завод;65 000 – 98 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/119415982?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Technical Engineering Project Management Intern / Стажер инженерно-технической проектной группы;;от 100 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/118112823?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Консультант-аналитик 1С;Rubius;до 150 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118908612?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
